repo,absolute_path,relative_path,branch_domain,source_type,canonicality,confidence,local_state,size_bytes
RGE-256-app,/Users/stevenreid/Documents/New project/repos/RGE-256-app/README_RGE256_demo.md,README_RGE256_demo.md,RGE / recursive-entropy PRNG ecosystem,supporting,supporting,medium,tracked_clean,15034
RGE-256-app,/Users/stevenreid/Documents/New project/repos/RGE-256-app/RGE_256__An_ARX_Based_Pseudorandom_Number_Generator_With_Structured_Entropy_and_Empirical_Validation__Update_2.pdf,RGE_256__An_ARX_Based_Pseudorandom_Number_Generator_With_Structured_Entropy_and_Empirical_Validation__Update_2.pdf,RGE / recursive-entropy PRNG ecosystem,supporting,supporting,medium,tracked_clean,486468
RGE-256-app,/Users/stevenreid/Documents/New project/repos/RGE-256-app/diehard_full_202.txt,diehard_full_202.txt,RGE / recursive-entropy PRNG ecosystem,supporting,supporting,medium,tracked_clean,76
RGE-256-app,/Users/stevenreid/Documents/New project/repos/RGE-256-app/docs/releases/README.md,docs/releases/README.md,RGE / recursive-entropy PRNG ecosystem,canonical_report,canonical,high,tracked_clean,89
RGE-256-app,/Users/stevenreid/Documents/New project/repos/RGE-256-app/docs/releases/v1.1.1.md,docs/releases/v1.1.1.md,RGE / recursive-entropy PRNG ecosystem,narrative_doc,supporting,medium,tracked_clean,1271
RGE-256-app,/Users/stevenreid/Documents/New project/repos/RGE-256-app/index.html,index.html,RGE / recursive-entropy PRNG ecosystem,supporting,supporting,medium,tracked_clean,135267
RGE-256-app,/Users/stevenreid/Documents/New project/repos/RGE-256-app/manifest.json,manifest.json,RGE / recursive-entropy PRNG ecosystem,supporting,supporting,medium,tracked_clean,788
RGE-256-app,/Users/stevenreid/Documents/New project/repos/RGE-256-app/privacy.html,privacy.html,RGE / recursive-entropy PRNG ecosystem,supporting,supporting,medium,tracked_clean,845
RGE-256-app,/Users/stevenreid/Documents/New project/repos/RGE-256-app/service-worker.js,service-worker.js,RGE / recursive-entropy PRNG ecosystem,supporting,supporting,medium,tracked_clean,2376
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/FINAL_REPORT.md,FINAL_REPORT.md,CFD / bounded-domain projection,canonical_report,canonical,high,tracked_clean,4437
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/README.md,README.md,CFD / bounded-domain projection,canonical_report,canonical,high,tracked_clean,6049
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/STATUS.md,STATUS.md,CFD / bounded-domain projection,canonical_report,canonical,high,tracked_clean,2689
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/SYSTEM_REPORT.md,SYSTEM_REPORT.md,CFD / bounded-domain projection,canonical_report,canonical,high,tracked_clean,2040
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/data/generated/benchmarks/binary_sensor_layouts.csv,data/generated/benchmarks/binary_sensor_layouts.csv,CFD / bounded-domain projection,artifact,supporting,high,tracked_clean,1071
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/data/generated/benchmarks/cfd_benchmark_summary.json,data/generated/benchmarks/cfd_benchmark_summary.json,CFD / bounded-domain projection,artifact,supporting,high,tracked_clean,35170
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/data/generated/benchmarks/closure_uncertainty_summary.json,data/generated/benchmarks/closure_uncertainty_summary.json,CFD / bounded-domain projection,artifact,supporting,high,tracked_clean,337
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/data/generated/benchmarks/independent_cross_checks.json,data/generated/benchmarks/independent_cross_checks.json,CFD / bounded-domain projection,artifact,supporting,high,tracked_clean,254
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/data/generated/benchmarks/linear_augmentation_examples.csv,data/generated/benchmarks/linear_augmentation_examples.csv,CFD / bounded-domain projection,artifact,supporting,high,tracked_clean,316
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/data/generated/benchmarks/modal_functional_threshold_sweep.csv,data/generated/benchmarks/modal_functional_threshold_sweep.csv,CFD / bounded-domain projection,artifact,supporting,high,tracked_clean,1493
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/data/generated/benchmarks/modal_noise_robustness.csv,data/generated/benchmarks/modal_noise_robustness.csv,CFD / bounded-domain projection,artifact,supporting,high,tracked_clean,1077
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/data/generated/benchmarks/periodic_vorticity_recovery.json,data/generated/benchmarks/periodic_vorticity_recovery.json,CFD / bounded-domain projection,artifact,supporting,high,tracked_clean,367
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/data/generated/benchmarks/reduced_order_rank_rows.csv,data/generated/benchmarks/reduced_order_rank_rows.csv,CFD / bounded-domain projection,artifact,supporting,high,tracked_clean,422
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/data/generated/benchmarks/sensor_geometry_cases.csv,data/generated/benchmarks/sensor_geometry_cases.csv,CFD / bounded-domain projection,artifact,supporting,high,tracked_clean,249
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/data/generated/benchmarks/signed_sparse_sensor_layouts.csv,data/generated/benchmarks/signed_sparse_sensor_layouts.csv,CFD / bounded-domain projection,artifact,supporting,high,tracked_clean,3235
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/data/generated/benchmarks/vorticity_threshold_sweep.csv,data/generated/benchmarks/vorticity_threshold_sweep.csv,CFD / bounded-domain projection,artifact,supporting,high,tracked_clean,1451
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/benchmarks/benchmark-suite.md,docs/benchmarks/benchmark-suite.md,CFD / bounded-domain projection,narrative_doc,supporting,medium,tracked_clean,620
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/benchmarks/generated-artifacts.md,docs/benchmarks/generated-artifacts.md,CFD / bounded-domain projection,narrative_doc,supporting,medium,tracked_clean,1534
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/branches/bounded-vs-periodic-domain-theory.md,docs/branches/bounded-vs-periodic-domain-theory.md,CFD / bounded-domain projection,narrative_doc,supporting,medium,tracked_clean,1092
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/branches/reconstruction-and-inverse-problems.md,docs/branches/reconstruction-and-inverse-problems.md,CFD / bounded-domain projection,narrative_doc,supporting,medium,tracked_clean,2036
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/branches/reduced-order-and-bifurcation.md,docs/branches/reduced-order-and-bifurcation.md,CFD / bounded-domain projection,narrative_doc,supporting,medium,tracked_clean,893
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/branches/turbulence-and-uncertainty.md,docs/branches/turbulence-and-uncertainty.md,CFD / bounded-domain projection,narrative_doc,supporting,medium,tracked_clean,775
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/cross-repo/relations.md,docs/cross-repo/relations.md,CFD / bounded-domain projection,narrative_doc,supporting,medium,tracked_clean,536
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/examples/worked-examples.md,docs/examples/worked-examples.md,CFD / bounded-domain projection,narrative_doc,supporting,medium,tracked_clean,1378
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/foundations/navier-stokes-foundations.md,docs/foundations/navier-stokes-foundations.md,CFD / bounded-domain projection,narrative_doc,supporting,medium,tracked_clean,2306
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/foundations/periodic-vs-bounded.md,docs/foundations/periodic-vs-bounded.md,CFD / bounded-domain projection,narrative_doc,supporting,medium,tracked_clean,1343
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/foundations/reconstruction-and-inverse-problems.md,docs/foundations/reconstruction-and-inverse-problems.md,CFD / bounded-domain projection,narrative_doc,supporting,medium,tracked_clean,1130
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/foundations/reduced-order-and-bifurcation.md,docs/foundations/reduced-order-and-bifurcation.md,CFD / bounded-domain projection,narrative_doc,supporting,medium,tracked_clean,945
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/foundations/turbulence-and-uncertainty.md,docs/foundations/turbulence-and-uncertainty.md,CFD / bounded-domain projection,narrative_doc,supporting,medium,tracked_clean,917
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/foundations/velocity-pressure-vorticity.md,docs/foundations/velocity-pressure-vorticity.md,CFD / bounded-domain projection,narrative_doc,supporting,medium,tracked_clean,1722
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/no-go/no-go-spine.md,docs/no-go/no-go-spine.md,CFD / bounded-domain projection,no_go_doc,canonical,high,tracked_clean,1186
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/open-problems/open-problem-program.md,docs/open-problems/open-problem-program.md,CFD / bounded-domain projection,narrative_doc,supporting,medium,tracked_clean,1664
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/overview/branch-audit.md,docs/overview/branch-audit.md,CFD / bounded-domain projection,narrative_doc,supporting,medium,tracked_clean,1995
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/overview/common-confusions.md,docs/overview/common-confusions.md,CFD / bounded-domain projection,narrative_doc,supporting,medium,tracked_clean,1498
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/overview/glossary.md,docs/overview/glossary.md,CFD / bounded-domain projection,narrative_doc,supporting,medium,tracked_clean,1277
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/overview/novelty-assessment.md,docs/overview/novelty-assessment.md,CFD / bounded-domain projection,narrative_doc,supporting,medium,tracked_clean,1314
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/overview/reading-path.md,docs/overview/reading-path.md,CFD / bounded-domain projection,narrative_doc,supporting,medium,tracked_clean,1546
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/overview/reproducibility.md,docs/overview/reproducibility.md,CFD / bounded-domain projection,narrative_doc,supporting,medium,tracked_clean,768
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/overview/start-here.md,docs/overview/start-here.md,CFD / bounded-domain projection,narrative_doc,supporting,medium,tracked_clean,1900
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/overview/systems-matrix.md,docs/overview/systems-matrix.md,CFD / bounded-domain projection,narrative_doc,supporting,medium,tracked_clean,1092
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/overview/usefulness-roadmap.md,docs/overview/usefulness-roadmap.md,CFD / bounded-domain projection,narrative_doc,supporting,medium,tracked_clean,1014
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/overview/validation-entrypoint.md,docs/overview/validation-entrypoint.md,CFD / bounded-domain projection,narrative_doc,supporting,medium,tracked_clean,907
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/theorems/proof-status-map.md,docs/theorems/proof-status-map.md,CFD / bounded-domain projection,theorem_doc,canonical,high,tracked_clean,1305
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/theorems/theorem-spine.md,docs/theorems/theorem-spine.md,CFD / bounded-domain projection,theorem_doc,canonical,high,tracked_clean,4145
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/docs/validation/validation-summary.md,docs/validation/validation-summary.md,CFD / bounded-domain projection,narrative_doc,supporting,medium,tracked_clean,1154
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/papers/bridge_paper.md,papers/bridge_paper.md,CFD / bounded-domain projection,paper,canonical,high,not_in_git_index,13231
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/papers/release_audit.md,papers/release_audit.md,CFD / bounded-domain projection,paper,canonical,high,not_in_git_index,461
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/pyproject.toml,pyproject.toml,CFD / bounded-domain projection,supporting,supporting,medium,tracked_clean,646
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/scripts/compare/run_cfd_benchmarks.py,scripts/compare/run_cfd_benchmarks.py,CFD / bounded-domain projection,script,supporting,medium,tracked_clean,1874
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/scripts/compare/run_independent_cross_checks.py,scripts/compare/run_independent_cross_checks.py,CFD / bounded-domain projection,script,supporting,medium,tracked_clean,2834
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/src/cfd_research/__init__.py,src/cfd_research/__init__.py,CFD / bounded-domain projection,source_module,supporting,high,tracked_clean,3038
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/src/cfd_research/asymptotic.py,src/cfd_research/asymptotic.py,CFD / bounded-domain projection,source_module,supporting,high,tracked_clean,1467
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/src/cfd_research/benchmarks.py,src/cfd_research/benchmarks.py,CFD / bounded-domain projection,source_module,supporting,high,tracked_clean,3257
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/src/cfd_research/projection.py,src/cfd_research/projection.py,CFD / bounded-domain projection,source_module,supporting,high,tracked_clean,12142
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/src/cfd_research/reconstruction.py,src/cfd_research/reconstruction.py,CFD / bounded-domain projection,source_module,supporting,high,tracked_clean,13766
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/src/cfd_research/reduced_order.py,src/cfd_research/reduced_order.py,CFD / bounded-domain projection,source_module,supporting,high,tracked_clean,2551
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/src/cfd_research/uncertainty.py,src/cfd_research/uncertainty.py,CFD / bounded-domain projection,source_module,supporting,high,tracked_clean,1927
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/src/cfd_research/vorticity.py,src/cfd_research/vorticity.py,CFD / bounded-domain projection,source_module,supporting,high,tracked_clean,7411
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/src/cfd_research_program.egg-info/SOURCES.txt,src/cfd_research_program.egg-info/SOURCES.txt,CFD / bounded-domain projection,source_module,supporting,high,not_in_git_index,516
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/src/cfd_research_program.egg-info/dependency_links.txt,src/cfd_research_program.egg-info/dependency_links.txt,CFD / bounded-domain projection,source_module,supporting,high,not_in_git_index,1
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/src/cfd_research_program.egg-info/requires.txt,src/cfd_research_program.egg-info/requires.txt,CFD / bounded-domain projection,source_module,supporting,high,not_in_git_index,31
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/src/cfd_research_program.egg-info/top_level.txt,src/cfd_research_program.egg-info/top_level.txt,CFD / bounded-domain projection,source_module,supporting,high,not_in_git_index,13
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/tests/conftest.py,tests/conftest.py,CFD / bounded-domain projection,test,supporting,high,tracked_clean,154
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/tests/examples/test_generated_artifacts.py,tests/examples/test_generated_artifacts.py,CFD / bounded-domain projection,test,supporting,high,tracked_clean,2039
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/tests/math/test_asymptotic.py,tests/math/test_asymptotic.py,CFD / bounded-domain projection,test,supporting,high,tracked_clean,343
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/tests/math/test_projection.py,tests/math/test_projection.py,CFD / bounded-domain projection,test,supporting,high,tracked_clean,1672
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/tests/math/test_reconstruction.py,tests/math/test_reconstruction.py,CFD / bounded-domain projection,test,supporting,high,tracked_clean,4544
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/tests/math/test_reduced_order.py,tests/math/test_reduced_order.py,CFD / bounded-domain projection,test,supporting,high,tracked_clean,615
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/tests/math/test_uncertainty.py,tests/math/test_uncertainty.py,CFD / bounded-domain projection,test,supporting,high,tracked_clean,496
cfd-research-program,/Users/stevenreid/Documents/New project/repos/cfd-research-program/tests/math/test_vorticity.py,tests/math/test_vorticity.py,CFD / bounded-domain projection,test,supporting,high,tracked_clean,1708
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/CHANGELOG.md,CHANGELOG.md,MHD closure / obstruction,supporting,supporting,medium,tracked_clean,2060
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/CODE_OF_CONDUCT.md,CODE_OF_CONDUCT.md,MHD closure / obstruction,supporting,supporting,medium,tracked_clean,569
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/CONTRIBUTING.md,CONTRIBUTING.md,MHD closure / obstruction,supporting,supporting,medium,tracked_clean,884
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/FILE_INDEX.md,FILE_INDEX.md,MHD closure / obstruction,canonical_report,canonical,high,tracked_clean,1341
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/FINAL_REPORT.md,FINAL_REPORT.md,MHD closure / obstruction,canonical_report,canonical,high,modified_local(M),3811
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/MHD_FINAL_REPORT.md,MHD_FINAL_REPORT.md,MHD closure / obstruction,canonical_report,canonical,high,tracked_clean,3771
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/README.md,README.md,MHD closure / obstruction,canonical_report,canonical,high,modified_local(M),7275
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/RESEARCH_MAP.md,RESEARCH_MAP.md,MHD closure / obstruction,canonical_report,canonical,high,tracked_clean,1008
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/ROADMAP.md,ROADMAP.md,MHD closure / obstruction,canonical_report,canonical,high,tracked_clean,942
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/SECURITY.md,SECURITY.md,MHD closure / obstruction,supporting,supporting,medium,tracked_clean,439
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/STATUS.md,STATUS.md,MHD closure / obstruction,canonical_report,canonical,high,modified_local(M),2651
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/SYSTEM_REPORT.md,SYSTEM_REPORT.md,MHD closure / obstruction,canonical_report,canonical,high,modified_local(M),2280
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/data/generated/expansion/new_expansion_report.json,data/generated/expansion/new_expansion_report.json,MHD closure / obstruction,artifact,supporting,high,not_in_git_index,5795
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/data/generated/expansion/reconnection_sheet_scaling.csv,data/generated/expansion/reconnection_sheet_scaling.csv,MHD closure / obstruction,artifact,supporting,high,not_in_git_index,330
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/data/generated/expansion/tokamak_family_table.csv,data/generated/expansion/tokamak_family_table.csv,MHD closure / obstruction,artifact,supporting,high,not_in_git_index,392
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/data/generated/figures/mhd_publication_figure_metrics.json,data/generated/figures/mhd_publication_figure_metrics.json,MHD closure / obstruction,artifact,supporting,high,modified_local(M),680
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/data/generated/figures/mhd_publication_figure_validation.json,data/generated/figures/mhd_publication_figure_validation.json,MHD closure / obstruction,artifact,supporting,high,modified_local(M),786
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/data/generated/validation/cli_symbolic_report.json,data/generated/validation/cli_symbolic_report.json,MHD closure / obstruction,artifact,supporting,high,tracked_clean,4587
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/data/generated/validation/symbolic_closure_report.json,data/generated/validation/symbolic_closure_report.json,MHD closure / obstruction,artifact,supporting,high,tracked_clean,4587
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/docs/README.md,docs/README.md,MHD closure / obstruction,canonical_report,canonical,high,tracked_clean,1334
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/docs/april_2026_discovery_update.md,docs/april_2026_discovery_update.md,MHD closure / obstruction,narrative_doc,supporting,medium,tracked_clean,3363
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/docs/benchmark_report.md,docs/benchmark_report.md,MHD closure / obstruction,narrative_doc,supporting,medium,tracked_clean,2779
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/docs/cli_reference.md,docs/cli_reference.md,MHD closure / obstruction,narrative_doc,supporting,medium,tracked_clean,1337
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/docs/closure_sandbox.md,docs/closure_sandbox.md,MHD closure / obstruction,narrative_doc,supporting,medium,tracked_clean,653
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/docs/derivations/cylindrical_exact_families.md,docs/derivations/cylindrical_exact_families.md,MHD closure / obstruction,narrative_doc,supporting,medium,tracked_clean,1038
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/docs/diagnostics_and_verification.md,docs/diagnostics_and_verification.md,MHD closure / obstruction,narrative_doc,supporting,medium,tracked_clean,896
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/docs/discoveries/annular_variable_resistivity_exact_families.md,docs/discoveries/annular_variable_resistivity_exact_families.md,MHD closure / obstruction,narrative_doc,supporting,medium,tracked_clean,2713
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/docs/discoveries/non_bilinear_exact_families.md,docs/discoveries/non_bilinear_exact_families.md,MHD closure / obstruction,narrative_doc,supporting,medium,tracked_clean,818
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/docs/discoveries/separable_variable_resistivity_extensions.md,docs/discoveries/separable_variable_resistivity_extensions.md,MHD closure / obstruction,narrative_doc,supporting,medium,tracked_clean,1341
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/docs/discoveries/smooth_axis_variable_resistivity_no_go.md,docs/discoveries/smooth_axis_variable_resistivity_no_go.md,MHD closure / obstruction,no_go_doc,canonical,high,tracked_clean,919
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/docs/discoveries/topological_adam_bridge.md,docs/discoveries/topological_adam_bridge.md,MHD closure / obstruction,narrative_doc,supporting,medium,tracked_clean,646
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/docs/discoveries/variable_resistivity_obstructions.md,docs/discoveries/variable_resistivity_obstructions.md,MHD closure / obstruction,no_go_doc,canonical,high,tracked_clean,1218
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/docs/divergence_control.md,docs/divergence_control.md,MHD closure / obstruction,narrative_doc,supporting,medium,tracked_clean,1172
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/docs/getting_started.md,docs/getting_started.md,MHD closure / obstruction,narrative_doc,supporting,medium,tracked_clean,877
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/docs/limitations/current-boundaries.md,docs/limitations/current-boundaries.md,MHD closure / obstruction,narrative_doc,supporting,medium,tracked_clean,699
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/docs/overview/repo-map.md,docs/overview/repo-map.md,MHD closure / obstruction,narrative_doc,supporting,medium,tracked_clean,356
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/docs/overview/reproduce-key-checks.md,docs/overview/reproduce-key-checks.md,MHD closure / obstruction,narrative_doc,supporting,medium,tracked_clean,526
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/docs/overview/start-here.md,docs/overview/start-here.md,MHD closure / obstruction,narrative_doc,supporting,medium,tracked_clean,498
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/docs/overview/strongest-results.md,docs/overview/strongest-results.md,MHD closure / obstruction,narrative_doc,supporting,medium,tracked_clean,785
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/docs/paper_references.md,docs/paper_references.md,MHD closure / obstruction,paper,canonical,high,tracked_clean,985
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/docs/rejected/invariant-lane-failure-note.md,docs/rejected/invariant-lane-failure-note.md,MHD closure / obstruction,narrative_doc,supporting,medium,not_in_git_index,913
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/docs/rejected/representation-comparison-failure-note.md,docs/rejected/representation-comparison-failure-note.md,MHD closure / obstruction,narrative_doc,supporting,medium,not_in_git_index,792
mhd-toolkit,/Users/stevenreid/Documents/New project/mhd-toolkit/docs/releases/README.md,docs/releases/README.md,MHD closure / obstruction,canonical_report,canonical,high,tracked_clean,185
