source_path,source_scope,layers_touched,status_type,canonical_class,confidence,notes
/Users/stevenreid/Documents/New project/repos/topological-adam/docs/research-program/tsit_no_go_candidates.md,sibling_workspace,VI_structure_design,no-go,external_or_sibling,0.85,
/Users/stevenreid/Documents/New project/repos/topological-adam/docs/research-program/tsit_overview.md,sibling_workspace,VI_structure_design,narrative,external_or_sibling,0.85,
/Users/stevenreid/Documents/New project/repos/topological-adam/docs/research-program/tsit_repo_positioning_report.md,sibling_workspace,VI_structure_design,narrative,external_or_sibling,0.85,
/Users/stevenreid/Documents/New project/repos/topological-adam/docs/research-program/tsit_theorem_candidates.md,sibling_workspace,VI_structure_design,theorem,external_or_sibling,0.85,
/Users/stevenreid/Documents/New project/repos/topological-adam/docs/research-program/tsit_validation_plan.md,sibling_workspace,VI_structure_design,validation,external_or_sibling,0.85,
/Users/stevenreid/Documents/New project/repos/topological-adam/docs/research-program/tsit_validation_results.md,sibling_workspace,VI_structure_design,validation,external_or_sibling,0.85,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/indistinguishability/indistinguishability_anomalies.csv,ocp_repo,IV_structure_collapse,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/indistinguishability/indistinguishability_metrics.csv,ocp_repo,IV_structure_collapse,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/indistinguishability/indistinguishability_summary.json,ocp_repo,IV_structure_collapse,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/recoverability/analytic_collapse_benchmark.csv,ocp_repo,IV_structure_collapse;V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/recoverability/analytic_noise_lower_bound.csv,ocp_repo,V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/recoverability/control_minimal_complexity_sweep.csv,ocp_repo,V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/recoverability/diagonal_functional_complexity_sweep.csv,ocp_repo,V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/recoverability/diagonal_polynomial_threshold_sweep.csv,ocp_repo,V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/recoverability/functional_observability_sweep.csv,ocp_repo,V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/recoverability/periodic_cutoff_sweep.csv,ocp_repo,V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/recoverability/periodic_functional_complexity_sweep.csv,ocp_repo,V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/recoverability/periodic_protected_complexity_sweep.csv,ocp_repo,V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/recoverability/periodic_threshold_stress_sweep.csv,ocp_repo,V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/recoverability/periodic_velocity_sweep.csv,ocp_repo,V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/recoverability/pvrt_linear_stability_example.csv,ocp_repo,III_structure_persistence;V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/recoverability/pvrt_same_rank_counterexample.csv,ocp_repo,V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/recoverability/qubit_record_sweep.csv,ocp_repo,V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/recoverability/recoverability_summary.json,ocp_repo,V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/tsit-extension/tsit_option_d_scorecard.csv,ocp_repo,VI_structure_design,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/tsit-extension/tsit_positioning_expansion_anomalies.csv,ocp_repo,VI_structure_design,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/tsit-extension/tsit_positioning_expansion_witnesses.csv,ocp_repo,VI_structure_design,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/tsit-extension/tsit_positioning_summary.json,ocp_repo,VI_structure_design,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/unified-recoverability/candidate_library_budget_witnesses.csv,ocp_repo,V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/unified-recoverability/canonical_model_mismatch.csv,ocp_repo,III_structure_persistence;V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/unified-recoverability/control_exact_vs_asymptotic_split.csv,ocp_repo,V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/unified-recoverability/control_regime_hierarchy.csv,ocp_repo,V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/unified-recoverability/coordinate_rank_enumeration.csv,ocp_repo,V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/unified-recoverability/decision_layer_examples.csv,ocp_repo,V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/unified-recoverability/decision_layer_summary.json,ocp_repo,V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/unified-recoverability/family_enlargement_false_positive.csv,ocp_repo,III_structure_persistence;V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/unified-recoverability/model_mismatch_stress.csv,ocp_repo,III_structure_persistence;V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/unified-recoverability/noisy_restricted_linear_hierarchy.csv,ocp_repo,V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/unified-recoverability/periodic_refinement_false_positive.csv,ocp_repo,V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/unified-recoverability/periodic_same_record_target_hierarchy.csv,ocp_repo,V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/unified-recoverability/rank_only_classifier_witnesses.csv,ocp_repo,V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/unified-recoverability/restricted_linear_fiber_geometry.csv,ocp_repo,I_structure_ontology;V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/unified-recoverability/unified_recoverability_summary.json,ocp_repo,V_structure_recoverability,empirical,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/app/descriptor-fiber-anti-classifier-branch-workbench-consistency-report.md,ocp_repo,I_structure_ontology;VI_structure_design,narrative,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/app/recoverability-correction-studio.md,ocp_repo,V_structure_recoverability,narrative,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/app/tsit-quantitative-extension-workbench-consistency-report.md,ocp_repo,VI_structure_design,narrative,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/cfd-pde.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/coding-theory.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/control-observability.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/decision-layer-theorem-assessment.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,theorem,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/discretization-risk-report.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/false-positive-risk-report.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/falsification-harness.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/family-decision-layer-report.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/family-restriction-risk-report.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/fiber-formalism-core.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/fiber-geometry-and-classification.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/fiber-threshold-laws.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/fibers-and-detectability.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/fibers-and-exact-recoverability.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/fibers-and-impossibility.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/fibers-and-weaker-vs-stronger-targets.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/field-dictionary-overview.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/final-inverse-observability-pass-report.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/final-report.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/frontier-audit.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/identifiability-formalism.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/information-theory.md,ocp_repo,I_structure_ontology;II_structure_formation;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/inverse-observability-frontier-audit.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/inverse-problems.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/literature-anchors.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/mhd.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/migration-report.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/model-mismatch-stress-report.md,ocp_repo,I_structure_ontology;III_structure_persistence;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/next-phase-deep-dive.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/no-go-counterexamples.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/novelty-assessment.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/open-problem-program.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/outside-open-problem-map.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/overview.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/plain-language-guide.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/proof-sketches.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/qec.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/reading-path.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/restricted-linear-fiber-theory.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/same-rank-same-budget-anti-classifier-report.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/stopping-logic-compatibility-memo.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/stopping-logic-falsification-report.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/stopping-logic-novelty-usefulness-assessment.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/stopping-logic-recommendation-memo.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/target-strength-separation-report.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/theorem-candidate-assessment.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,theorem,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/theorem-candidates.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,theorem,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/theorem-mapping-table.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,theorem,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/usefulness-guide.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/validation-summary.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/workbench-guidance.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability;VI_structure_design,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/fiber-based-recoverability-and-impossibility/workbench-value-assessment.md,ocp_repo,I_structure_ontology;IV_structure_collapse;V_structure_recoverability;VI_structure_design,no-go,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/meta_theory/compatibility_invariant_search.md,ocp_repo,V_structure_recoverability,narrative,exploratory_or_supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/meta_theory/role_structure_dictionary.md,ocp_repo,I_structure_ontology,narrative,exploratory_or_supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/unifying_theory/shared_invariants_and_obstructions.md,ocp_repo,V_structure_recoverability,narrative,exploratory_or_supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/unifying_theory/theorem_formation_report.md,ocp_repo,II_structure_formation,theorem,exploratory_or_supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/src/ocp/context_invariant.py,ocp_repo,III_structure_persistence,script,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/src/ocp/design.py,ocp_repo,VI_structure_design,script,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/src/ocp/fiber_limits.py,ocp_repo,I_structure_ontology,script,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/src/ocp/indistinguishability.py,ocp_repo,IV_structure_collapse,script,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/src/ocp/recoverability.py,ocp_repo,V_structure_recoverability,script,supporting,0.55,
/Users/stevenreid/Documents/New project/repos/topological-adam/TSIT_Breakout_Results_2026.docx,sibling_workspace,VI_structure_design,narrative,external_or_sibling,0.92,
/Users/stevenreid/Documents/New project/repos/topological-adam/data/generated/tsit_positioning/expansion_anomalies.csv,sibling_workspace,VI_structure_design,empirical,external_or_sibling,0.70,
